"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Camsap2",0.000460430241808907,0.328225762897921,0.579,0.381,1
"Pygl",0.000461254930318858,0.372270732898853,0.663,0.503,1
"Kbtbd11",0.000462470563479004,0.537193300915267,0.173,0.078,1
"Isoc1",0.000463290555054963,0.451409401577425,0.415,0.262,1
"Usp21",0.000464274766545995,0.484993583927705,0.223,0.113,1
"Pdhb",0.000464438617352676,0.346239329871881,0.251,0.131,1
"Ppargc1a",0.000467865125843028,0.634493253697078,0.153,0.067,1
"Brk1",0.000468404698869847,0.566827624970758,0.304,0.177,1
"Ighj1",0.000468816418555624,0.312048924284064,0.73,0.535,1
"Rbp7",0.000470452524227778,0.46218371223903,0.256,0.14,1
"Sfxn5",0.000479213926014515,1.00900202272936,0.131,0.052,1
"Syn1",0.000479259009541624,1.75638921203663,0.106,0.038,1
"Dazap2",0.000479272135367976,0.284484944351108,0.889,0.788,1
"Smoc1",0.000479921253707571,-1.04032220565124,0.195,0.288,1
"Akt1s1",0.000482499789435291,0.341714964856288,0.474,0.305,1
"Ifi27l2a",0.000483498222685619,0.431614333958075,0.348,0.209,1
"Smarcc2",0.000484377833413771,0.47953763784032,0.468,0.302,1
"Clk1",0.000484965404581338,0.666942397095,0.27,0.151,1
"Ckap4",0.000484999185209315,-0.275406603399692,0.922,0.942,1
"Cyp1b1",0.000487031509975365,0.477382365693419,0.259,0.14,1
"Tnc",0.000487169224609936,0.325067393202749,0.819,0.712,1
"Mgmt",0.00048873374434136,0.916860324995296,0.139,0.058,1
"Wdfy1",0.000494799247448066,0.411414762465986,0.345,0.206,1
"Ncoa7",0.000497891633193494,0.390033766337891,0.49,0.314,1
"Tie1",0.000500880738513567,1.02574227553763,0.131,0.052,1
"Serpina1e",0.000501135254849832,-1.37119782076824,0.089,0.172,1
"Mfsd12",0.000505240384806247,0.300884795311918,0.557,0.375,1
"Foxk2",0.000505455193896923,0.597800655054768,0.273,0.151,1
"Jak3",0.000506667807883348,0.477199554066807,0.396,0.256,1
"Plod1",0.000508464850042765,0.46589841107933,0.396,0.253,1
"Ep400",0.000508700476204859,0.315514925580275,0.543,0.372,1
"Psmd4",0.000509736514308515,0.295320994989943,0.735,0.581,1
"Atxn7l1",0.000514480362371795,0.486368492234726,0.401,0.259,1
"Igfbp3",0.000516569487634461,0.417931091890802,0.599,0.459,1
"Ost4",0.000517249419749426,0.339850911106962,0.71,0.541,1
"Dync1li1",0.000519342652391549,0.640017963183447,0.203,0.102,1
"Coro6",0.000519612904931301,-1.33639400258144,0.097,0.18,1
"Mprip",0.000520358372754483,0.314838145211056,0.749,0.622,1
"Nfyb",0.000521989077614335,0.592780752907733,0.273,0.154,1
"Prkcd",0.000523803172500297,0.418003083088063,0.448,0.288,1
"Crem",0.000532738345531047,0.344890430543428,0.217,0.108,1
"Npr1",0.000532943241873279,0.65924714559142,0.267,0.151,1
"Nol7",0.000534297104374841,0.410464754890656,0.607,0.453,1
"Hfe",0.000536199652014335,0.684220646635714,0.217,0.11,1
"Arhgef18",0.000536840609894147,0.430477264352417,0.518,0.352,1
"Gba2",0.00053723483639943,0.557140563276013,0.231,0.119,1
"Ifitm3",0.000537767254746009,0.408942566466547,0.538,0.366,1
