"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ddx49",0.0173599416945847,0.733056540005713,0.456,0.312,1
"Pdpr",0.0173612441329275,1.05018364862925,0.324,0.191,1
"Vps18",0.0173705968795455,1.76220288566523,0.132,0.046,1
"Fbxl4",0.0173705968795455,1.76220288566523,0.132,0.046,1
"Irak2",0.0173705968795455,1.76220288566523,0.132,0.046,1
"Prkch",0.0173705968795455,1.76220288566523,0.132,0.046,1
"Syp",0.0173705968795455,1.76220288566523,0.132,0.046,1
"Josd1",0.0173788593797921,0.932127887107541,0.397,0.266,1
"Slc6a2",0.017461406416347,2.17724038494407,0.191,0.087,1
"Nusap1",0.0174833901389192,0.334341346028802,0.971,0.855,1
"Tnfrsf26",0.0177642952892662,1.76220288566523,0.103,0.029,1
"Zfp407",0.0177642952892662,1.76220288566523,0.103,0.029,1
"Vps13a",0.0177642952892662,1.76220288566523,0.103,0.029,1
"Dusp3",0.0177693971999096,0.994493768067915,0.441,0.347,1
"Htra1",0.0178037747482092,0.562404281123796,0.912,0.838,1
"Commd3",0.0179077776139343,0.618126707991808,0.603,0.457,1
"Ddx58",0.0179165823307837,1.86173855921614,0.103,0.029,1
"Ssr2",0.0180306995938334,0.83566504760625,0.426,0.295,1
"Sbf2",0.0180354009632028,1.34716538638639,0.279,0.162,1
"Ankzf1",0.0180487284422748,1.70973546577109,0.103,0.029,1
"Mettl5",0.018056897426057,1.4467010599373,0.176,0.075,1
"Desi2",0.0180709208532853,1.07414689197997,0.25,0.127,1
"Kdm6a",0.0180786362634371,0.793567056574564,0.5,0.405,1
"Agpat4",0.0181259213983327,0.778322551028506,0.529,0.41,1
"Gosr1",0.0181975717259098,1.42116596783016,0.206,0.098,1
"Rad21",0.0182478259634068,1.01274634731583,0.382,0.249,1
"Timp4",0.0183024947757338,1.88773376774909,0.147,0.058,1
"Sf3a2",0.0183862486878878,0.548799247556036,0.588,0.422,1
"Gpr27",0.0183895130292381,1.61019979222018,0.132,0.046,1
"AU040320",0.0184114999872703,1.56955780772283,0.206,0.098,1
"Fnta",0.0184749283432855,1.14363199230125,0.309,0.185,1
"Brpf1",0.0184926515516695,0.786450431911906,0.397,0.26,1
"Nectin2",0.0185239768260474,1.58817348589018,0.132,0.046,1
"Acvr1",0.0186268322215784,1.14553152521674,0.235,0.116,1
"C1qtnf12",0.018641661931494,0.458712039034543,0.912,0.838,1
"Tmem214",0.0187054375655398,1.23168816896645,0.25,0.133,1
"Map2",0.0187136002437803,1.53981046432878,0.103,0.029,1
"Ahsa1",0.0187141218928251,0.533316702243281,0.691,0.549,1
"Kdr",0.018791488902413,1.11975489028331,0.368,0.243,1
"Pex11a",0.019006739489577,1.5170903878287,0.103,0.029,1
"Tbk1",0.0190188316770093,1.49155529572156,0.191,0.087,1
"Gm49336",0.0191239350978651,1.0576587691914,0.221,0.104,1
"Cdk11b",0.0191248836524624,1.05170950286021,0.25,0.127,1
"Chst2",0.0191876696253847,1.34716538638639,0.176,0.075,1
"Lcp1",0.0192564681858395,0.678371294861758,0.559,0.462,1
"1810058I24Rik",0.0192828801544144,0.441141534595399,0.824,0.665,1
"Rflnb",0.0193131613905553,1.48466891013632,0.132,0.046,1
"Calml3",0.0193239348356188,-1.04515203639238,0.191,0.335,1
"Coro1c",0.0193658594041014,0.792197625963066,0.544,0.474,1
"Lurap1l",0.0193761977484655,1.79462436335761,0.147,0.058,1
"Dcakd",0.0193800171801861,0.861738559216144,0.471,0.353,1
"Atp6ap1",0.0194893274423809,0.505427470303117,0.632,0.509,1
"Mff",0.0195103990953022,0.678786877477591,0.485,0.347,1
"Pcbp1",0.0195580219333117,0.574575882489458,0.647,0.543,1
"Polr2a",0.0196521393540563,0.999242082966078,0.368,0.249,1
"Grb2",0.0196710621708494,0.750521080617594,0.574,0.457,1
"Reep3",0.0197742951023216,0.677706611578456,0.676,0.601,1
"Sipa1",0.0197782890921027,0.677810698374857,0.588,0.491,1
"Lzts2",0.019786560607076,0.819918383521516,0.471,0.37,1
"Fam219a",0.0198848002586665,1.23613407399764,0.25,0.133,1
"Psmf1",0.0199186152115202,0.85778054564746,0.426,0.312,1
"Trdn",0.019960552029647,-1.35327433175471,0.029,0.133,1
"E130309D02Rik",0.0201132871736191,1.22163450430253,0.294,0.173,1
"Arfgap3",0.0201198828338656,0.738356143710861,0.529,0.497,1
"Mapk9",0.0201788075436131,-1.23779711433477,0.044,0.156,1
"Nckap1",0.0201995765779008,0.989613381768301,0.324,0.197,1
"Wwtr1",0.0202779956042396,0.705619357298862,0.618,0.538,1
"Tm9sf2",0.0203557889001858,0.657120839607672,0.574,0.486,1
"Hprt",0.0203645373783365,1.15452030844399,0.279,0.156,1
"Zfp746",0.0204527185620592,0.96250153615106,0.338,0.208,1
"Rpusd4",0.0204912185878772,1.27677605849499,0.221,0.11,1
"Map4k4",0.0205025576799595,0.955740444329492,0.529,0.451,1
"Clstn3",0.0205050319382571,1.2540559819949,0.176,0.075,1
"Igf1r",0.0205459685963929,1.03229204903297,0.353,0.225,1
"Mcm3",0.0206295904351765,0.505594748990868,0.809,0.688,1
